Naslov,Avtor,Leta izida,Dolžina,Točke,Ocena,Število bralcev
Dandelion Wine,Ray Bradbury,1957,239,1313,4.08,71725
The Broken Sword,Poul Anderson,1954,208,1051,3.86,7005
"Gormenghast (Gormenghast, #2)",Mervyn Peake,1950,505,748,4.08,14072
The Illustrated Man,Ray Bradbury,1951,186,558,4.13,99888
The 13 Clocks,James Thurber,1950,128,485,4.0,8013
A Stir of Echoes,Richard Matheson,1958,224,451,3.86,14336
Conjure Wife,Fritz Leiber,1943,188,385,3.8,2568
"The Gammage Cup (The Minnipins, #1)",Carol Kendall,1959,304,365,3.98,3282
The Shrinking Man,Richard Matheson,1956,201,360,3.78,8537
Till We Have Faces,C.S. Lewis,1956,313,356,4.19,71706
"Titus Alone (Gormenghast, #3)",Mervyn Peake,1959,284,343,3.45,5662
"Carbonel: The King of the Cats (Carbonel, #1)",Barbara Sleigh,1955,188,332,4.24,1720
I Am Legend and Other Stories,Richard Matheson,1954,317,329,4.0,132144
The Little Witch,Otfried Preußler,1957,132,320,4.2,11221
"The Candle in the Wind (The Once and Future King, #4)",T.H. White,1940,208,276,3.87,2118
"Half Magic (Tales of Magic, #1)",Edward Eager,1954,192,270,3.95,37542
The Borrowers Afield (The Borrowers #2),Mary Norton,1955,224,268,4.07,12403
"The Borrowers Afloat (The Borrowers, #3)",Mary Norton,1959,191,265,4.05,7516
The Beast Master,Andre Norton,1984,223,238,3.99,2263
The Little Water Sprite,Otfried Preußler,1956,136,217,4.06,2879
The Castle of Iron,L. Sprague de Camp,1950,190,192,3.68,177
The Victorian Chaise Longue,Marghanita Laski,1953,119,186,3.58,1467
The Chocolate Touch,Patrick Skene Catling,1952,128,178,3.84,18934
"Magic or Not? (Tales of Magic, #5)",Edward Eager,1959,197,169,4.0,2696
"Knight's Castle (Tales of Magic, #2)",Edward Eager,1956,198,168,4.04,5456
The Cloven Viscount,Italo Calvino,1952,106,165,3.82,27077
The Nonexistent Knight,Italo Calvino,1959,146,163,3.83,22021
The Blue Star,Fletcher Pratt,1952,240,145,3.14,185
Monus de man van de maan,A.D. Hildebrand,1952,165,100,3.0,5
Travel Light,Naomi Mitchison,1952,135,94,3.73,3163
Galaxy of Ghouls,Judith Merril,1955,192,94,3.7,10
"Doctor Dolittle and the Green Canary (Doctor Dolittle, #11)",Hugh Lofting,1950,288,91,3.99,425
"Doctor Dolittle's Puddleby Adventures (Doctor Dolittle, #12)",Hugh Lofting,1966,256,90,3.9,257
Duel,Richard Matheson,1971,400,87,4.03,2462
"The Hidden Valley of Oz (Oz, Book 39)",Rachel R. Cosgrove,,1,84,3.31,36
Pincher Martin,William Golding,1956,216,81,3.56,2394
The Return of Conan,Björn Nyberg,1957,191,80,3.72,32
The Strange Case of Mr. Pelham,Anthony Armstrong,1957,224,77,3.29,21
THE TRITONIAN RING,L. Sprague de Camp,1953,212,75,3.28,211
The Year the Yankees Lost the Pennant,Douglass Wallop,1954,258,74,3.99,281
Tales from Gavagan's Bar,L. Sprague de Camp,1953,277,73,3.74,261
The Hand of Zei,L. Sprague de Camp,1950,276,72,3.38,119
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,1968,183,4526,4.01,324171
"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,1968,294,3348,4.16,112750
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,1962,211,3332,3.98,1216383
The Phantom Tollbooth,Norton Juster,1961,248,3238,4.2,290466
James and the Giant Peach,Roald Dahl,1961,176,2981,4.03,480768
Where the Wild Things Are,Maurice Sendak,1963,38,2944,4.25,1013503
"The Book of Three (The Chronicles of Prydain, #1)",Lloyd Alexander,1964,190,2396,3.98,79865
"The Black Cauldron (The Chronicles of Prydain, #2)",Lloyd Alexander,1965,182,2175,4.12,64989
"The High King (The Chronicles of Prydain, #5)",Lloyd Alexander,1968,253,1371,4.24,55048
"Over Sea, Under Stone (The Dark is Rising, #1)",Susan Cooper,1965,196,1344,3.86,53542
"Witch World (Witch World Series 1: Estcarp Cycle, #1)",Andre Norton,1963,288,1243,3.8,4916
"Dragonflight (Pern: Dragonriders of Pern, #1)",Anne McCaffrey,1968,303,1167,4.09,138339
"Taran Wanderer (The Chronicles of Prydain, #4)",Lloyd Alexander,1967,222,912,4.14,42009
"The Castle of Llyr (The Chronicles of Prydain, #3)",Lloyd Alexander,1966,174,806,4.07,38248
"The Jewel in the Skull (History of the Runestaff, #1)",Michael Moorcock,1967,156,772,3.85,3615
Smith of Wootton Major,J.R.R. Tolkien,1967,149,708,3.9,5496
"Stormbringer (The Elric Saga, #6)",Michael Moorcock,1965,220,694,4.18,9951
The Master and Margarita,Mikhail Bulgakov,1967,372,686,4.29,363358
