Naslov,Avtor,Leto izida,Dolžina,Točke,Ocena,Število bralcev 
"A Memory of Light (The Wheel of Time, #14)",Robert Jordan,2013,912,14794,4.57,147246
"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,2011,332,13987,4.2,230678
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,2012,406,13856,4.18,1655919
The Ocean at the End of the Lane,Neil Gaiman,2013,181,13339,4.02,629934
"King of Thorns (The Broken Empire, #2)",Mark  Lawrence,2012,449,12560,4.18,67045
"The Black Prism (Lightbringer, #1)",Brent Weeks,2010,629,12064,4.23,124747
"Steelheart (The Reckoners, #1)",Brandon Sanderson,2013,386,11856,4.14,183736
The Night Circus,Erin Morgenstern,2011,506,11160,4.01,997515
"Emperor of Thorns (The Broken Empire, #3)",Mark  Lawrence,2013,434,10738,4.23,54319
"Heir of Novron (The Riyria Revelations, #5-6)",Michael J. Sullivan,2012,932,9979,4.5,50552
Uprooted,Naomi Novik,2015,438,8566,4.04,242374
"A Darker Shade of Magic (Shades of Magic, #1)",Victoria Schwab,2015,400,8266,4.05,374841
"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,2013,420,7876,4.36,1152839
"The Republic of Thieves (Gentleman Bastard, #3)",Scott Lynch,2013,650,7834,4.22,110599
"The Crown Tower (The Riyria Chronicles, #1)",Michael J. Sullivan,2013,384,7565,4.33,39161
The Emperor's Soul,Brandon Sanderson,2012,192,7236,4.38,103924
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,2015,465,7197,4.48,985900
"Towers of Midnight (The Wheel of Time, #13)",Robert Jordan,2010,863,7001,4.47,161101
"Saga, Volume 1",Brian K. Vaughan,2012,160,6586,4.17,337669
"The Blinding Knife (Lightbringer, #2)",Brent Weeks,2012,671,6398,4.41,88661
"Promise of Blood (Powder Mage, #1)",Brian  McClellan,2013,545,6377,4.14,58417
"Golden Son (Red Rising Saga, #2)",Pierce Brown,2015,466,6336,4.47,289639
"The Desert Spear (Demon Cycle, #2)",Peter V. Brett,2010,579,6248,4.21,87840
"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,2015,468,6237,4.31,279018
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,2015,419,6111,4.19,2856649
"Prince of Fools (The Red Queen's War, #1)",Mark  Lawrence,2014,355,5844,4.05,33358
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,2014,565,5783,4.46,1004990
"Fool's Assassin (The Fitz and The Fool Trilogy, #1)",Robin Hobb,2014,630,5604,4.41,57330
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,2012,390,5576,4.13,941892
"Theft of Swords (The Riyria Revelations, #1-2)",Michael J. Sullivan,2011,691,5362,4.23,70197
"Tower Lord (Raven's Shadow, #2)",Anthony Ryan,2014,608,5272,4.17,48914
"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,2013,597,5191,4.57,428672
"The Emperor's Blades (Chronicle of the Unhewn Throne, #1)",Brian Staveley,2014,480,4935,4.09,40299
The Heroes,Joe Abercrombie,2011,581,4869,4.33,64258
"The Golem and the Jinni (The Golem and the Jinni, #1)",Helene Wecker,2013,486,4854,4.13,125552
"The Daylight War (Demon Cycle, #3)",Peter V. Brett,2013,639,4618,4.2,62374
"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,2012,409,4406,4.05,374716
"Rise of Empire (The Riyria Revelations, #3-4)",Michael J. Sullivan,2010,786,4353,4.36,52423
"Morning Star (Red Rising Saga, #3)",Pierce Brown,2016,525,4169,4.51,238814
"The Thousand Names (The Shadow Campaigns, #1)",Django Wexler,2013,513,4136,4.04,19559
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,2012,586,4068,4.47,616771
"Shadows of Self (Mistborn, #5)",Brandon Sanderson,2015,383,4057,4.28,159253
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,2012,358,3961,3.93,983155
"Bitterblue (Graceling Realm, #3)",Kristin Cashore,2012,576,3874,4.0,119787
"Malice (The Faithful and the Fallen, #1)",John Gwynne,2012,672,3692,4.17,42332
"The Crippled God (Malazan Book of the Fallen, #10)",Steven Erikson,2011,921,3654,4.51,30622
"The Goblin Emperor (The Chronicles of Osreth, #1)",Katherine Addison,2014,446,3556,4.07,47832
"Dawn of Wonder (The Wakening, #1)",Jonathan Renshaw,2015,715,3549,4.35,25313
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,2016,561,3539,4.59,664073
"The Crimson Campaign (Powder Mage, #2)",Brian  McClellan,2014,596,3377,4.36,39047
"The Rose and the Thorn (The Riyria Chronicles, #2)",Michael J. Sullivan,2013,347,3333,4.4,27646
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,2016,626,3268,4.65,2163635
"Silver Borne (Mercy Thompson, #5)",Patricia Briggs,2010,352,3219,4.38,108822
"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,2011,304,3169,4.1,88704
"The Broken Eye (Lightbringer, #3)",Brent Weeks,2014,846,3129,4.45,64735
"The Red Knight (The Traitor Son Cycle, #1)",Miles  Cameron,2012,650,3062,4.1,17883
"Dead Beat (The Dresden Files, #7)",Jim Butcher,2005,517,3027,4.41,127432
"Rivers of London (Rivers of London, #1)",Ben Aaronovitch,2011,392,2935,3.86,133537
"The Hundred Thousand Kingdoms (Inheritance, #1)",N.K. Jemisin,2010,427,2920,3.9,76364
"Dragon Haven (Rain Wild Chronicles, #2)",Robin Hobb,2010,508,2914,4.1,37781
"Saga, Volume 2",Brian K. Vaughan,2013,144,2875,4.49,112656
"Frost Burned (Mercy Thompson, #7)",Patricia Briggs,2013,342,2798,4.36,75537
"Turn Coat (The Dresden Files, #11)",Jim Butcher,2009,420,2770,4.44,106092
"The Rook (The Checquy Files, #1)",Daniel O'Malley,2012,504,2762,4.1,59846
"The False Prince (Ascendance, #1)",Jennifer A. Nielsen,2012,342,2736,4.23,98952
"Traitor's Blade (Greatcoats, #1)",Sebastien de Castell,2014,325,2670,4.05,24031
"Shadowfever (Fever, #5)",Karen Marie Moning,2011,608,2564,4.39,109894
"Seraphina (Seraphina, #1)",Rachel Hartman,2012,467,2538,3.94,87291
"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,2013,454,2382,4.24,428291
Among Others,Jo Walton,2011,304,2335,3.71,24899
"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,2017,1243,2311,4.62,259880
"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,2017,319,2305,4.1,205048
"City of Stairs (The Divine Cities, #1)",Robert Jackson Bennett,2014,452,2281,4.09,35554
"A Natural History of Dragons (The Memoirs of Lady Trent, #1)",Marie Brennan,2013,335,2219,3.84,38796
"Half a King (Shattered Sea, #1)",Joe Abercrombie,2014,336,2204,3.97,66906
Red Country,Joe Abercrombie,2012,469,2175,4.31,54640
"Valor (The Faithful and the Fallen, #2)",John Gwynne,2014,640,2166,4.43,29325
"Mastiff (Beka Cooper, #3)",Tamora Pierce,2011,596,2122,4.27,29141
"Touch of Power (Healer, #1)",Maria V. Snyder,2011,390,2078,4.13,46351
"Fool's Quest  (The Fitz and The Fool, #2)",Robin Hobb,2015,768,2050,4.53,43790
"Night Broken (Mercy Thompson, #8)",Patricia Briggs,2014,341,2009,4.43,65112
"The Cloud Roads (Books of the Raksura, #1)",Martha Wells,2011,278,1942,3.97,14314
"I Shall Wear Midnight (Discworld, #38; Tiffany Aching, #4)",Terry Pratchett,2010,349,1941,4.36,56838
"The Skull Throne (Demon Cycle, #4)",Peter V. Brett,2015,681,1937,4.13,40005
"Written in Red (The Others, #1)",Anne Bishop,2013,433,1919,4.25,61830
"The Autumn Republic (Powder Mage, #3)",Brian  McClellan,2015,580,1844,4.36,33151
"The Wind Through the Keyhole (The Dark Tower, #4.5)",Stephen King,2012,322,1843,4.14,85306
"The Dragon Keeper (Rain Wild Chronicles, #1)",Robin Hobb,2009,553,1832,3.96,46889
"Divergent (Divergent, #1)",Veronica Roth,2011,487,1814,4.14,4049910
"A Gathering of Shadows (Shades of Magic, #2)",Victoria Schwab,2016,512,1813,4.21,203940
The Rithmatist (The Rithmatist #1),Brandon Sanderson,2013,386,1802,4.25,69305
"The Magician King (The Magicians, #2)",Lev Grossman,2011,548,1798,3.92,100395
"The Girl of Fire and Thorns (Fire and Thorns, #1)",Rae Carson,2011,423,1764,3.78,82240
The Red Knight,Samuel Z. Jones,2011,,1762,4.12,16
"Saga, Volume 3",Brian K. Vaughan,2014,144,1753,4.48,96267
Circe,Madeline Miller,2018,393,1585,4.23,1107769
"The Host (The Host, #1)",Stephenie Meyer,2008,624,1532,3.86,1014764
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,2011,418,1428,3.99,372716
"The Bitter Kingdom (Fire and Thorns, #3)",Rae Carson,2013,433,1421,4.2,36930
Best Served Cold,Joe Abercrombie,2009,534,1395,4.23,94255
"The Crown of Embers (Fire and Thorns, #2)",Rae Carson,2012,410,1361,4.17,47446
The Library at Mount Char,Scott  Hawkins,2015,390,1352,4.09,59572
"Moon Called (Mercy Thompson, #1)",Patricia Briggs,2006,289,1319,4.15,208889
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,2010,576,1316,4.3,865597
"Magic Slays (Kate Daniels, #5)",Ilona Andrews,2011,308,1294,4.4,76147
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,2011,521,1272,4.41,607017
"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,2016,689,1272,4.62,759771
Spinning Silver,Naomi Novik,2018,465,1260,4.2,133530
"Cress (The Lunar Chronicles, #3)",Marissa Meyer,,,1243,4.41,376232
"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,2015,648,1238,4.61,891721
"Age of Myth (The Legends of the First Empire, #1)",Michael J. Sullivan,2016,432,1225,4.22,37118
"Vicious (Villains, #1)",Victoria Schwab,2013,402,1220,4.21,254881
"The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making (Fairyland, #1)",Catherynne M. Valente,2011,247,1195,3.95,40654
"A Conjuring of Light (Shades of Magic, #3)",Victoria Schwab,2017,624,1164,4.31,167301
"Kings of the Wyld (The Band, #1)",Nicholas Eames,2017,502,1163,4.27,53685
"The Blood of Olympus (The Heroes of Olympus, #5)",Rick Riordan,2014,516,1157,4.43,343132
"The Final Empire (Mistborn, #1)",Brandon Sanderson,2006,541,1126,4.48,728144
"Firefight (The Reckoners, #2)",Brandon Sanderson,2015,416,1123,4.25,104351
"The Broken Kingdoms (Inheritance, #2)",N.K. Jemisin,2010,384,1116,4.13,36597
"Scent of Magic (Healer, #2)",Maria V. Snyder,2012,414,1103,4.12,24197
"Red Sister (Book of the Ancestor, #1)",Mark  Lawrence,2017,467,1088,4.17,58697
"Legend (Legend, #1)",Marie Lu,2011,305,1072,4.15,536449
"The Sigil Blade (Archon Sigil Trilogy, #1)",Jeff   Wilson,2015,408,1062,3.79,942
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,2017,705,1060,4.48,1797380
Deathless,Catherynne M. Valente,2011,352,1024,3.95,21391
"The Poppy War (The Poppy War, #1)",R.F. Kuang,2018,527,1005,4.17,288455
"The Last Dragon Slayer (Deathsworn Arc, #1)",Martyn Stanley,2012,290,987,3.69,471
"Heartless (Tales of Goldstone Wood, #1)",Anne Elisabeth Stengl,2010,368,966,3.76,3458
"Fair Game (Alpha & Omega, #3)",Patricia Briggs,2012,308,957,4.34,55010
Tortall and Other Lands: A Collection of Tales,Tamora Pierce,2011,369,957,4.1,15381
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,1986,329,942,4.29,372527
"Ruin (The Faithful and the Fallen, #3)",John Gwynne,2015,768,941,4.49,24482
"The Shadow Throne (The Shadow Campaigns, #2)",Django Wexler,2014,512,915,4.12,11236
"Akata Witch (The Nsibidi Scripts, #1)",Nnedi Okorafor,2011,349,915,4.04,35904
"Three Parts Dead (Craft Sequence, #1)",Max Gladstone,2012,336,911,3.97,14960
"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,2015,446,911,4.25,301821
"Winter (The Lunar Chronicles, #4)",Marissa Meyer,2015,827,908,4.42,286055
Nimona,N.D. Stevenson,2015,272,905,4.18,168610
"Sorcerer to the Crown (Sorcerer Royal, #1)",Zen Cho,2015,371,903,3.73,15265
"White Cat (Curse Workers, #1)",Holly Black,2010,310,875,3.79,49055
"Senlin Ascends (The Books of Babel, #1)",Josiah Bancroft,2013,448,870,4.11,30789
"City of Miracles (The Divine Cities, #3)",Robert Jackson Bennett,2017,451,866,4.42,13323
"City of Blades (The Divine Cities, #2)",Robert Jackson Bennett,2016,484,853,4.21,17165
"Strange the Dreamer (Strange the Dreamer, #1)",Laini Taylor,2017,536,849,4.28,124153
"City of Dragons (Rain Wild Chronicles, #3)",Robin Hobb,2011,334,831,4.1,34475
"A Conspiracy of Kings (The Queen's Thief, #4)",Megan Whalen Turner,2010,316,826,4.1,27219
"Fairest (The Lunar Chronicles, #3.5)",Marissa Meyer,2015,272,821,3.95,142759
"Troubled Waters (Elemental Blessings, #1)",Sharon Shinn,2010,400,810,4.02,9828
"The Death of Dulgath (The Riyria Chronicles, #3)",Michael J. Sullivan,2015,448,798,4.38,18516
"Veil of the Deserters (Bloodsounder's Arc, #2)",Jeff Salyards,2014,464,795,4.01,1284
"The Dream Thieves (The Raven Cycle, #2)",Maggie Stiefvater,2013,439,793,4.22,204822
"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",Rick Riordan,2015,512,790,4.24,219699
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,2018,370,781,4.04,1316887
"The Slow Regard of Silent Things (The Kingkiller Chronicle, #2.5)",Patrick Rothfuss,2014,159,780,3.88,149107
"The Shifter Dimension (Starbirth, #2)",J.M. Johnson,2012,,776,4.58,119
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,2007,662,768,4.52,982527
"The Killing Moon (Dreamblood, #1)",N.K. Jemisin,2012,428,760,3.96,21183
"The Emperor's Edge (The Emperor's Edge, #1)",Lindsay Buroker,2010,324,758,4.05,15243
"Scourge of the Betrayer (Bloodsounder's Arc, #1)",Jeff Salyards,2012,320,756,3.52,2937
"Under Heaven (Under Heaven, #1)",Guy Gavriel Kay,2010,592,750,4.16,15819
"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha    Shannon,2019,848,747,4.19,217907
"Steel's Edge (The Edge, #4)",Ilona Andrews,2012,388,742,4.2,19353
"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,2017,660,733,4.27,624694
"Hard Magic (Grimnoir Chronicles, #1)",Larry Correia,2012,423,726,4.14,15893
"Blood of Dragons (Rain Wild Chronicles, #4)",Robin Hobb,2013,448,720,4.17,32718
"Among Thieves (Tales of the Kin, #1)",Douglas Hulick,2011,414,704,3.94,12526
"The Starbirth Assignment: Shifter (Starbirth, #1 part 1)",J.M. Johnson,2011,296,696,4.01,134
"Unsouled (Cradle, #1)",Will Wight,2016,294,691,4.16,45827
"Every Heart a Doorway (Wayward Children, #1)",Seanan McGuire,2016,176,689,3.82,114041
"Cast in Chaos (Chronicles of Elantra, #6)",Michelle Sagara,2010,503,685,4.26,7832
"The Liar's Key (The Red Queen's War, #2)",Mark  Lawrence,2015,480,685,4.24,20603
"Dragonwitch (Tales of Goldstone Wood, #5)",Anne Elisabeth Stengl,2013,425,680,4.44,753
"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,2016,343,678,3.49,1041170
"Calamity (Reckoners, #3)",Brandon Sanderson,2016,424,674,4.18,83496
"Moonblood (Tales of Goldstone Wood, #3)",Anne Elisabeth Stengl,2012,373,667,4.34,990
"Starflower (Tales of Goldstone Wood, #4)",Anne Elisabeth Stengl,2012,349,667,4.47,908
"Veiled Rose (Tales of Goldstone Wood, #2)",Anne Elisabeth Stengl,2011,394,665,4.1,1335
"The Dragon's Path (The Dagger and the Coin, #1)",Daniel Abraham,2011,555,661,3.81,21901
"Monstress, Vol. 1: Awakening",Marjorie M. Liu,2016,192,661,3.97,62816
"Grave Mercy (His Fair Assassin, #1)",Robin LaFevers,2012,549,656,3.89,106302
"Hexed (The Iron Druid Chronicles, #2)",Kevin Hearne,2011,296,654,4.22,63190
"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,2018,980,653,4.7,638882
The Scorpio Races,Maggie Stiefvater,2011,409,650,4.09,110400
"The Aeronaut's Windlass (The Cinder Spires, #1)",Jim Butcher,2015,630,650,4.18,45526
"Cast in Ruin (Chronicles of Elantra, #7)",Michelle Sagara,2011,457,647,4.3,7137
"The Obsidian Heart (Echoes of Empire, #2)",Mark T. Barnes,2013,438,642,4.01,590
"The Siren Depths (Books of the Raksura, #3)",Martha Wells,2012,277,639,4.24,6204
The Buried Giant,Kazuo Ishiguro,2015,317,637,3.58,108421
"The Serpent Sea (Books of the Raksura, #2)",Martha Wells,2012,340,635,4.09,7580
"The Hammer of Thor (Magnus Chase and the Gods of Asgard, #2)",Rick Riordan,2016,459,631,4.31,116105
"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,2011,849,631,4.15,282920
"Etiquette & Espionage (Finishing School, #1)",Gail Carriger,2013,307,620,3.83,50048
"Tongues of Serpents (Temeraire, #6)",Naomi Novik,2010,274,613,3.76,21652
"Spy Glass (Glass, #3)",Maria V. Snyder,2010,535,611,4.0,17712
"Snow Like Ashes (Snow Like Ashes, #1)",Sara Raasch,2014,422,610,3.88,68114
"Cold Magic (Spiritwalker, #1)",Kate Elliott,2010,528,604,3.72,9217
The Raven Tower,Ann Leckie,2019,416,603,3.92,20520
"Cast in Peril (Chronicles of Elantra, #8)",Michelle Sagara,2012,538,591,4.25,6456
The Blood Prince (Archon Sigil Trilogy #0.5),Jeff   Wilson,2014,40,589,3.87,195
"Shadow Team GB (Starbirth, #3)",J.M. Johnson,2015,314,588,4.77,103
"Battle Magic (Circle Reforged, #3)",Tamora Pierce,2013,440,587,4.09,8539
"Trapped (The Iron Druid Chronicles, #5)",Kevin Hearne,2012,290,587,4.27,44813
"Cold Fire (Spiritwalker, #2)",Kate Elliott,2011,512,584,3.92,5314
"The Cold Commands (A Land Fit for Heroes, #2)",Richard K. Morgan,2010,407,583,3.95,9322
"Cirkeln (Engelsfors, #1)",Mats Strandberg,2011,516,582,3.84,17282
"The Providence of Fire (Chronicle of the Unhewn Throne, #2)",Brian Staveley,2015,608,565,4.12,23653
All the Birds in the Sky,Charlie Jane Anders,2016,316,564,3.59,46889
"Shattered (The Iron Druid Chronicles, #7)",Kevin Hearne,2014,352,562,4.28,31194
"Shadow Hand (Tales of Goldstone Wood, #6)",Anne Elisabeth Stengl,2014,408,559,4.34,650
"Taste of Darkness (Healer, #3)",Maria V. Snyder,2013,400,557,4.07,15337
"Wrath (The Faithful and the Fallen, #4)",John Gwynne,2016,720,557,4.52,22392
"The Blood Mirror (Lightbringer, #4)",Brent Weeks,2015,704,555,4.33,48589
"Shades of Milk and Honey (Glamourist Histories, #1)",Mary Robinette Kowal,2010,304,554,3.51,17390
"Limits of Power (Paladin's Legacy, #4)",Elizabeth Moon,2013,490,548,4.2,2766
"Blameless (Parasol Protectorate, #3)",Gail Carriger,2010,355,548,4.0,41299
"A Time of Dread (Of Blood and Bone, #1)",John Gwynne,2018,463,546,4.3,11384
"Jade City (The Green Bone Saga, #1)",Fonda Lee,2017,540,537,4.09,72608
"Dreamer's Pool (Blackthorn & Grim, #1)",Juliet Marillier,2014,434,535,3.98,15351
"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,2017,532,530,4.15,127069
"The Wheel of Osheim (The Red Queen's War, #3)",Mark  Lawrence,2016,656,528,4.32,17066
"Fate's Edge (The Edge, #3)",Ilona Andrews,2011,372,527,4.12,21738
"River Marked (Mercy Thompson, #6)",Patricia Briggs,2011,352,527,4.28,89762
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,2012,535,523,4.22,538351
"The Queen of the Tearling (The Queen of the Tearling, #1)",Erika Johansen,2014,434,520,3.99,95945
The Girl Who Drank the Moon,Kelly Barnhill,2016,388,520,4.12,101685
"Beyond Redemption (Manifest Delusions, #1)",Michael R. Fletcher,2015,480,518,4.01,3251
The Haunting of Tram Car 015,P. Djèlí Clark,2019,85,517,3.98,16070
"Welcome to Night Vale (Welcome to Night Vale, #1)",Joseph Fink,2015,401,515,3.83,41704
Who Fears Death,Nnedi Okorafor,2010,387,511,3.94,26498
"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,2014,448,509,4.23,693390
"Grey Sister (Book of the Ancestor, #2)",Mark  Lawrence,2018,416,507,4.36,35332
"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,2008,572,506,4.54,448934
"One Salt Sea (October Daye, #5)",Seanan McGuire,2011,354,503,4.32,19775
"The Kingdom of Gods (Inheritance, #3)",N.K. Jemisin,2011,613,502,3.99,27279
"Bayou Moon (The Edge, #2)",Ilona Andrews,2010,447,494,4.09,29712
"The Winter of the Witch (The Winternight Trilogy, #3)",Katherine Arden,2019,384,493,4.49,78922
"The Starbirth Assignment: Transmutes (Starbirth, #1 part 2)",J.M. Johnson,2012,240,492,4.52,58
"Golden Daughter (Tales of Goldstone Wood, #7)",Anne Elisabeth Stengl,2014,570,491,4.49,380
"Fire Touched (Mercy Thompson, #9)",Patricia Briggs,2016,342,483,4.38,51243
"Cast in Flame (Chronicles of Elantra, #10)",Michelle Sagara,2014,400,481,4.29,4987
"Late Eclipses (October Daye, #4)",Seanan McGuire,2011,372,481,4.27,19687
"Gunmetal Magic (Kate Daniels, #5.5; World of Kate Daniels, #6 & #6.5; Andrea Nash, #1)",Ilona Andrews,2012,448,480,4.25,38044
"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,2016,410,480,4.3,168169
"Insurgent (Divergent, #2)",Veronica Roth,2012,525,478,3.97,1523107
"Goddess Tithe (Tales of Goldstone Wood, #5.5)",Anne Elisabeth Stengl,2013,120,476,4.16,319
Mysteria: A book of spooky and fantastic tales,David Hayes,2017,315,476,4.59,56
"The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud,2003,462,476,4.03,129734
"One of Our Thursdays Is Missing (Thursday Next, #6)",Jasper Fforde,2011,362,473,3.98,19653
"Allegiant (Divergent, #3)",Veronica Roth,2013,531,473,3.6,1070387
"The Ruin of Kings (A Chorus of Dragons, #1)",Jenn Lyons,2019,560,467,3.83,14011
"The Price of Valour (The Shadow Campaigns, #3)",Django Wexler,2015,528,462,4.25,8470
"The Magician's Land (The Magicians, #3)",Lev Grossman,2014,402,461,4.14,77853
A Stranger in Olondria,Sofia Samatar,2013,299,460,3.66,2848
The Starless Sea,Erin Morgenstern,2019,487,460,3.85,209860
The Bards of Bone Plain,Patricia A. McKillip,2010,329,459,3.96,2662
"Low Town (Low Town, #1)",Daniel Polansky,2011,354,456,3.86,6268
She Who Waits,Daniel Polansky,2013,405,451,4.3,2054
"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)",Sarah J. Maas,2018,229,449,3.75,1375057
It,Stephen King,1986,1168,445,4.24,1137434
"An Artificial Night (October Daye, #3)",Seanan McGuire,2010,354,443,4.18,20503
"Echoes of Betrayal (Paladin's Legacy, #3)",Elizabeth Moon,2012,451,442,4.2,3285
Journey (Journey Trilogy #1),Aaron Becker,2013,40,441,4.37,13133
"Shifting Shadows (Mercy Thompson #0.1, #0.5, #0.7, #0.9, #1.2, #1.8, #4.5, #5.5, #7.4, #8.5)",Patricia Briggs,2014,450,441,4.4,21846
"The Shepherd's Crown (Discworld, #41; Tiffany Aching, #5)",Terry Pratchett,2015,276,441,4.38,31322
"Crucible of Gold (Temeraire, #7)",Naomi Novik,2012,325,439,3.98,17317
"Girl of Nightmares (Anna, #2)",Kendare Blake,2012,332,436,3.84,31881
"Chains of the Heretic (Bloodsounder's Arc, #3)",Jeff Salyards,2016,524,434,4.05,965
"Spellslinger (Spellslinger, #1)",Sebastien de Castell,2017,416,427,4.02,17976
"Assassin's Fate (The Fitz and the Fool, #3)",Robin Hobb,2017,847,424,4.65,41255
"A Local Habitation (October Daye, #2)",Seanan McGuire,2010,377,423,3.9,20310
"God's War (Bel Dame Apocrypha, #1)",Kameron Hurley,2011,288,422,3.67,5302
"The Garden of Stones (Echoes of Empire, #1)",Mark T. Barnes,2013,506,417,3.64,1133
"Holy Sister (Book of the Ancestor, #3)",Mark  Lawrence,2019,343,413,4.31,28747
"Chimes at Midnight (October Daye, #7)",Seanan McGuire,2013,357,408,4.36,15629
"A Red-Rose Chain (October Daye, #9)",Seanan McGuire,2015,367,402,4.3,11088
"Once Broken Faith (October Daye, #10)",Seanan McGuire,2016,420,400,4.36,10154
"The Ninth Rain (The Winnowing Flame Trilogy, #1)",Jen Williams,2017,544,400,4.09,7967
"The Hanged Man (The Tarot Sequence, #2)",K.D. Edwards,2019,383,399,4.55,6889
"The Last Sun (The Tarot Sequence, #1)",K.D. Edwards,2018,371,398,4.18,10683
"The Edge of Worlds (The Books of the Raksura, #4)",Martha Wells,2016,388,397,4.08,3981
"Magic Shifts (Kate Daniels, #8)",Ilona Andrews,2015,342,395,4.43,43982
"Dominion (Life After, #3)",Julie  Hall,2018,402,394,4.45,697
"Magic Rises (Kate Daniels, #6)",Ilona Andrews,2013,355,391,4.45,59195
"The Starbirth Assignment: Shifter (Starbirth, #1)",J.M. Johnson,2016,169,387,4.1,69
"The Grimrose Path (Trickster, #2)",Rob Thurman,2010,352,385,4.0,1779
"Magic Breaks (Kate Daniels, #7)",Ilona Andrews,2014,381,381,4.49,51521
"Magic Bleeds (Kate Daniels, #4)",Ilona Andrews,2010,349,379,4.44,85248
The Fury of the Fae,Bernie Morris,2014,191,377,4.22,36
"Ashes of Honor (October Daye, #6)",Seanan McGuire,2012,363,376,4.37,18249
"Throne of the Crescent Moon (The Crescent Moon Kingdoms, #1)",Saladin Ahmed,2012,274,370,3.64,11647
"The Guns of Empire (The Shadow Campaigns, #4)",Django Wexler,2016,480,368,4.28,6339
"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,2018,544,368,4.11,229330
"Blackveil (Green Rider, #4)",Kristen Britain,2011,672,367,4.2,12875
"Shadowfell (Shadowfell, #1)",Juliet Marillier,2012,410,367,3.94,14476
"Eld (Engelsfors, #2)",Mats Strandberg,2012,634,363,4.1,10122
"Tomorrow, the Killing (Low Town #2)",Daniel Polansky,2012,341,363,4.06,2546
Krampus: The Yule Lord,Brom,2012,357,362,4.11,11137
"Reckless (Mirrorworld, #1)",Cornelia Funke,2010,394,362,3.75,21637
"Spellbound (Grimnoir Chronicles, #2)",Larry Correia,2011,448,361,4.29,10920
"The Emperor's Knife (Tower and Knife Trilogy, #1)",Mazarkis Williams,2011,450,359,3.3,2039
"The Woman Who Died A Lot (Thursday Next, #7)",Jasper Fforde,2012,366,357,4.08,14514
"Blood of Tyrants (Temeraire, #8)",Naomi Novik,2013,432,350,3.99,14458
"A Little Hatred (The Age of Madness, #1)",Joe Abercrombie,2019,480,349,4.45,45730
"Sins of Empire (Gods of Blood and Powder, #1)",Brian  McClellan,2017,624,344,4.4,17940
"The Burning White (Lightbringer, #5)",Brent Weeks,2019,960,343,4.26,33590
"Hammered (The Iron Druid Chronicles, #3)",Kevin Hearne,2011,312,341,4.21,54291
"Court of Fives (Court of Fives, #1)",Kate Elliott,2015,448,338,3.72,8244
Anya's Ghost,Vera Brosgol,2011,224,337,3.91,88721
"Carry On (Simon Snow, #1)",Rainbow Rowell,2015,522,336,4.17,317154
